panel_celltype,group,gene,source_column
EC,AZFc_Del,DRG1,EC-AZFc
EC,AZFc_Del,DRICH1,EC-AZFc
EC,AZFc_Del,DSTN,EC-AZFc
EC,AZFc_Del,DUSP1,EC-AZFc
EC,AZFc_Del,DUSP23,EC-AZFc
EC,AZFc_Del,DYNLL1,EC-AZFc
EC,AZFc_Del,DYNLL2,EC-AZFc
EC,AZFc_Del,DYNLRB2,EC-AZFc
EC,AZFc_Del,DZIP1,EC-AZFc
EC,AZFc_Del,ECE1,EC-AZFc
EC,AZFc_Del,ECHS1,EC-AZFc
EC,AZFc_Del,ECI2,EC-AZFc
EC,AZFc_Del,EDN1,EC-AZFc
EC,AZFc_Del,EDNRB,EC-AZFc
EC,AZFc_Del,EEF1D,EC-AZFc
EC,AZFc_Del,EFCAB1,EC-AZFc
EC,AZFc_Del,EFCAB13,EC-AZFc
EC,AZFc_Del,EFCAB6,EC-AZFc
EC,AZFc_Del,EGR1,EC-AZFc
EC,AZFc_Del,EHD1,EC-AZFc
EC,AZFc_Del,EHD4,EC-AZFc
EC,AZFc_Del,EHMT1,EC-AZFc
EC,AZFc_Del,EIF1,EC-AZFc
EC,AZFc_Del,EIF1B,EC-AZFc
EC,AZFc_Del,EIF2AK4,EC-AZFc
EC,AZFc_Del,EIF3E,EC-AZFc
EC,AZFc_Del,EIF3I,EC-AZFc
EC,AZFc_Del,EIF3M,EC-AZFc
EC,AZFc_Del,EIF4B,EC-AZFc
EC,AZFc_Del,EIF4E,EC-AZFc
EC,AZFc_Del,EIF4G1,EC-AZFc
EC,AZFc_Del,EIF4H,EC-AZFc
EC,AZFc_Del,EIF5A2,EC-AZFc
EC,AZFc_Del,ELK3,EC-AZFc
EC,AZFc_Del,ELOF1,EC-AZFc
EC,AZFc_Del,EMC6,EC-AZFc
EC,AZFc_Del,EML1,EC-AZFc
EC,AZFc_Del,ENAH,EC-AZFc
EC,AZFc_Del,ENG,EC-AZFc
EC,AZFc_Del,ENPP2,EC-AZFc
EC,AZFc_Del,ENPP5,EC-AZFc
EC,AZFc_Del,EPAS1,EC-AZFc
EC,AZFc_Del,EPB41L3,EC-AZFc
EC,AZFc_Del,EPS8,EC-AZFc
EC,AZFc_Del,ERGIC3,EC-AZFc
EC,AZFc_Del,ERH,EC-AZFc
EC,AZFc_Del,ERICH2,EC-AZFc
EC,AZFc_Del,ESAM,EC-AZFc
EC,AZFc_Del,ESS2,EC-AZFc
EC,AZFc_Del,ETS2,EC-AZFc
EC,AZFc_Del,EVL,EC-AZFc
EC,AZFc_Del,EXOC6,EC-AZFc
EC,AZFc_Del,EXOSC4,EC-AZFc
EC,AZFc_Del,F8,EC-AZFc
EC,AZFc_Del,FABP5,EC-AZFc
EC,AZFc_Del,FAM104A,EC-AZFc
EC,AZFc_Del,FAM107A,EC-AZFc
EC,AZFc_Del,FAM110D,EC-AZFc
EC,AZFc_Del,FAM114A2,EC-AZFc
EC,AZFc_Del,FAM120B,EC-AZFc
EC,AZFc_Del,FAM13C,EC-AZFc
EC,AZFc_Del,FAM187B,EC-AZFc
EC,AZFc_Del,FAM198B,EC-AZFc
EC,AZFc_Del,FAM209B,EC-AZFc
EC,AZFc_Del,FAM220A,EC-AZFc
EC,AZFc_Del,FAM229A,EC-AZFc
EC,AZFc_Del,FAM229B,EC-AZFc
EC,AZFc_Del,FAM46C,EC-AZFc
EC,AZFc_Del,FAM71C,EC-AZFc
EC,AZFc_Del,FAM71D,EC-AZFc
EC,AZFc_Del,FAM71E1,EC-AZFc
EC,AZFc_Del,FAM71F1,EC-AZFc
EC,AZFc_Del,FAM76B,EC-AZFc
EC,AZFc_Del,FAM81B,EC-AZFc
EC,AZFc_Del,FAM92A,EC-AZFc
EC,AZFc_Del,FAM9C,EC-AZFc
EC,AZFc_Del,FANCD2OS,EC-AZFc
EC,AZFc_Del,FANCI,EC-AZFc
EC,AZFc_Del,FARP2,EC-AZFc
EC,AZFc_Del,FATE1,EC-AZFc
EC,AZFc_Del,FBXO39,EC-AZFc
EC,AZFc_Del,FBXO7,EC-AZFc
EC,AZFc_Del,FBXW2,EC-AZFc
EC,AZFc_Del,FBXW5,EC-AZFc
EC,AZFc_Del,FCN3,EC-AZFc
EC,AZFc_Del,FDPS,EC-AZFc
EC,AZFc_Del,FHAD1,EC-AZFc
EC,AZFc_Del,FHL1,EC-AZFc
EC,AZFc_Del,FHL5,EC-AZFc
EC,AZFc_Del,FKBP1A,EC-AZFc
EC,AZFc_Del,FKBP5,EC-AZFc
EC,AZFc_Del,FLII,EC-AZFc
EC,AZFc_Del,FLT1,EC-AZFc
EC,AZFc_Del,FNBP1L,EC-AZFc
EC,AZFc_Del,FNDC4,EC-AZFc
EC,AZFc_Del,FOPNL,EC-AZFc
EC,AZFc_Del,FOS,EC-AZFc
EC,AZFc_Del,FOSB,EC-AZFc
EC,AZFc_Del,FOXC1,EC-AZFc
EC,AZFc_Del,FOXJ3,EC-AZFc
EC,AZFc_Del,FSCB,EC-AZFc
EC,AZFc_Del,FSCN3,EC-AZFc
EC,AZFc_Del,FTH1,EC-AZFc
EC,AZFc_Del,FUBP1,EC-AZFc
EC,AZFc_Del,FUNDC2P2,EC-AZFc
EC,AZFc_Del,FXR1,EC-AZFc
EC,AZFc_Del,FXYD6,EC-AZFc
EC,AZFc_Del,G0S2,EC-AZFc
EC,AZFc_Del,G2E3,EC-AZFc
EC,AZFc_Del,GABARAPL1,EC-AZFc
EC,AZFc_Del,GABRG3-AS1,EC-AZFc
EC,AZFc_Del,GADD45B,EC-AZFc
EC,AZFc_Del,GALNT15,EC-AZFc
EC,AZFc_Del,GALNTL5,EC-AZFc
EC,AZFc_Del,GAPDH,EC-AZFc
EC,AZFc_Del,GART,EC-AZFc
EC,AZFc_Del,GAS6,EC-AZFc
EC,AZFc_Del,GATM,EC-AZFc
EC,AZFc_Del,GGT5,EC-AZFc
EC,AZFc_Del,GID4,EC-AZFc
EC,AZFc_Del,GIGYF2,EC-AZFc
EC,AZFc_Del,GKAP1,EC-AZFc
EC,AZFc_Del,GLRX2,EC-AZFc
EC,AZFc_Del,GNAS,EC-AZFc
EC,AZFc_Del,GNB1,EC-AZFc
EC,AZFc_Del,GNG11,EC-AZFc
EC,AZFc_Del,GNG5,EC-AZFc
EC,AZFc_Del,GOSR2,EC-AZFc
EC,AZFc_Del,GPBP1L1,EC-AZFc
EC,AZFc_Del,GPI,EC-AZFc
EC,AZFc_Del,GPRC5B,EC-AZFc
EC,AZFc_Del,GPX1,EC-AZFc
EC,AZFc_Del,GPX3,EC-AZFc
EC,AZFc_Del,GPX4,EC-AZFc
EC,AZFc_Del,GSG1,EC-AZFc
EC,AZFc_Del,GSKIP,EC-AZFc
EC,AZFc_Del,GSN,EC-AZFc
EC,AZFc_Del,GSTA1,EC-AZFc
EC,AZFc_Del,GSTK1,EC-AZFc
EC,AZFc_Del,GTF2A2,EC-AZFc
EC,AZFc_Del,GTSF1,EC-AZFc
EC,AZFc_Del,GTSF1L,EC-AZFc
EC,AZFc_Del,GUK1,EC-AZFc
EC,AZFc_Del,GYG1,EC-AZFc
EC,AZFc_Del,H1FNT,EC-AZFc
EC,AZFc_Del,H2AFJ,EC-AZFc
EC,AZFc_Del,H3F3AP4,EC-AZFc
EC,AZFc_Del,HACD3,EC-AZFc
EC,AZFc_Del,HAGLR,EC-AZFc
EC,AZFc_Del,HAGLROS,EC-AZFc
EC,AZFc_Del,HDLBP,EC-AZFc
EC,AZFc_Del,HEBP1,EC-AZFc
EC,AZFc_Del,HEMGN,EC-AZFc
EC,AZFc_Del,HENMT1,EC-AZFc
EC,AZFc_Del,HERC2P2,EC-AZFc
EC,AZFc_Del,HERC2P3,EC-AZFc
EC,AZFc_Del,HES1,EC-AZFc
EC,AZFc_Del,HEXIM1,EC-AZFc
EC,AZFc_Del,HEY1,EC-AZFc
EC,AZFc_Del,HIP1,EC-AZFc
EC,AZFc_Del,HIST1H1C,EC-AZFc
EC,AZFc_Del,HIST1H1E,EC-AZFc
EC,AZFc_Del,HIST1H2BA,EC-AZFc
EC,AZFc_Del,HIST1H4C,EC-AZFc
EC,AZFc_Del,HK1,EC-AZFc
EC,AZFc_Del,HLA-B,EC-AZFc
EC,AZFc_Del,HLA-DMB,EC-AZFc
EC,AZFc_Del,HLA-DQA1,EC-AZFc
EC,AZFc_Del,HLA-DQA2,EC-AZFc
EC,AZFc_Del,HLA-DQB1,EC-AZFc
EC,AZFc_Del,HLA-DRB5,EC-AZFc
EC,AZFc_Del,HLA-DRB6,EC-AZFc
EC,AZFc_Del,HLA-F,EC-AZFc
EC,AZFc_Del,HMGB1,EC-AZFc
EC,AZFc_Del,HMGB4,EC-AZFc
EC,AZFc_Del,HMGN5,EC-AZFc
EC,AZFc_Del,HMOX2,EC-AZFc
EC,AZFc_Del,HNRNPA0,EC-AZFc
EC,AZFc_Del,HNRNPA3,EC-AZFc
EC,AZFc_Del,HNRNPD,EC-AZFc
EC,AZFc_Del,HNRNPK,EC-AZFc
EC,AZFc_Del,HNRNPR,EC-AZFc
EC,AZFc_Del,HOOK1,EC-AZFc
EC,AZFc_Del,HP1BP3,EC-AZFc
EC,AZFc_Del,HRASLS5,EC-AZFc
EC,AZFc_Del,HSD17B12,EC-AZFc
EC,AZFc_Del,HSP90AA1,EC-AZFc
EC,AZFc_Del,HSP90B1,EC-AZFc
EC,AZFc_Del,HSPA1A,EC-AZFc
EC,AZFc_Del,HSPA1B,EC-AZFc
EC,AZFc_Del,HSPA4L,EC-AZFc
EC,AZFc_Del,HSPA5,EC-AZFc
EC,AZFc_Del,HSPA8,EC-AZFc
EC,AZFc_Del,HSPD1,EC-AZFc
EC,AZFc_Del,HSPG2,EC-AZFc
EC,AZFc_Del,HSPH1,EC-AZFc
EC,AZFc_Del,HYAL2,EC-AZFc
EC,AZFc_Del,HYPM,EC-AZFc
EC,AZFc_Del,ICAM2,EC-AZFc
EC,AZFc_Del,ID1,EC-AZFc
EC,AZFc_Del,ID2,EC-AZFc
EC,AZFc_Del,ID3,EC-AZFc
EC,AZFc_Del,IER5,EC-AZFc
EC,AZFc_Del,IFI16,EC-AZFc
EC,AZFc_Del,IFI44,EC-AZFc
EC,AZFc_Del,IFITM1,EC-AZFc
EC,AZFc_Del,IFITM2,EC-AZFc
EC,AZFc_Del,IFITM3,EC-AZFc
EC,AZFc_Del,IFNGR1,EC-AZFc
