LC-OA,LC-AZFc,LC-INOA_B,LC-KS,LC_INOA_S
GUCA1C,GADD45G,ATIC,DNM3,MYH11
FDXR,CYP51A1,NIF3L1,MYC,PRDX3
TAB3,ACSL1,ELOVL1,CLU,SLC1A3
SPINK2,ANP32B,NSG1,NFIC,RACK1
TCEAL9,LAMTOR1,EBP,DDT,SVIL
CRISPLD2,AC011503.1,CD320,HENMT1,EPHX1
B9D1,ITM2A,CCDC54,DECR1,AR
RBP1,TDRD1,AC010255.3,DDIT4,CREM
ALAS1,CKLF,ALG3,CD46,NAP1L1
NMT1,MCM4,C1orf43,ABCA17P,FCGRT
DUBR,SSPN,TMCO2,RHOBTB3,TSHZ2
AP2A1,DDX56,IGF2-2,PRPS2,LYPLA1
PTMA,VSIG1,SLC16A9,LRP1,FBLN5
CTSS,AMZ2,TMEM167A,LAG3,LXN
COX17,BLVRB,WDYHV1,GLRX,LRP1
POGZ,PIR,ATRAID,PPDPF,SNHG6
HINT3,ATP5MD,CNIH1,FANCI,H1F0
ERGIC1,PPP1R2C,DCAF13,GNG12,KIAA1210
PPP3R2,RNH1,BCAP31,GIPC2,C1orf115
MSMO1,CCDC74A,BRK1,EEF2,SECISBP2
NAP1L3,HAGH,COPS7A,CKB,TSC22D3
MT-CO1,PDGFRA,TMEM179B,HMGB3,45902
TMEM97,ATP6V1D,TM2D2,AP1S1,INSIG1
PSMA2,ACTR10,LYPLA1,CEBPD,HSD3B2
TMEM147,MYL9,CD244,FGD4,FAU
CD59,FHL2,NAXD,MT1X,CSDC2
C7,UGP2,ACE2,LINC01497,EBP
CALB2,ODF2,UFL1,EIF4B,COX7A2L
PTN,SLC25A11,PTMA,TGFBR3,SPTSSA
CTSH,CTSH,FCGRT,FLNB,NR2F1
FBXW2,CYB5A,CMTM2,PHF7,SEC62
CYP11A1,RPN1,CITED2,TOP2A,APP
IRS2,SNHG6,PHB2,ACP1,HAGH
IRF1,NUDT11,QDPR,DKKL1,ALDH1A3
NDUFB4,MORN2,ANXA2,ASS1,CD320
JKAMP,GLOD4,SLC41A3,NR2F1,LHX9
ATF3,TMEM147,PRSS23,KLF2,SPARCL1
OPN3,RIOK1,PCMTD1,EIF2S2,POP5
BOLL,JTB,TUBB,SERPINE2,FHL5
COX6C,G3BP2,HSD3B2,HADHB,EFEMP1
ACOT13,TMBIM1,NEU1,CDC7,IGFBP6
DDX5,GATM,PSMC4,APP,MT-ND6
PTOV1,JAK1,MAOA,ELOVL5,MYL9
