EC-OA,EC-AZFc,EC-INOA_B,EC-KS,EC_INOA_S
,,,FBXO17,
,,,EIF3K,
,,,SH3BGRL2,
,,,DNM3,
,,,CCDC92,
,,,SRSF11,
,,,RAB8A,
,,,GALT,
,,,CBX7,
,,,C19orf66,
,,,ADIPOR2,
,,,NDUFV1,
,,,WDR3,
,,,CORO1C,
,,,MAGEF1,
,,,KTN1,
,,,PSIP1,
,,,MYH10,
,,,TMEM183A,
,,,AC022706.1,
,,,PCYOX1,
,,,ETF1,
,,,STARD3,
,,,TMEM59,
,,,FAM174A,
,,,BRK1,
,,,SCRN1,
,,,NDUFB5,
,,,MAP4K2,
,,,PAFAH1B1,
,,,FADS3,
,,,BRD2,
,,,SCML1,
,,,TCF4,
,,,TUSC3,
,,,VDAC3,
,,,RIOK1,
,,,PLIN3,
,,,C5orf24,
,,,SLC16A7,
,,,DHPS,
,,,SMIM29,
,,,BEX3,
,,,SNRPA,
,,,PRKAG2,
,,,CRNDE,
,,,PLAT,
,,,ERF,
,,,NEU1,
,,,PRKAR2A,
,,,ATN1,
,,,GPATCH1,
,,,SELENOF,
,,,RPF2,
,,,POP7,
,,,IPO7,
,,,PPP2CA,
,,,RAB34,
,,,ORC3,
,,,SEC13,
,,,TMEM94,
,,,EEPD1,
,,,HIST2H2AC,
,,,BABAM2,
,,,BTN3A1,
,,,FRG1HP,
,,,GHITM,
,,,ING1,
,,,MAGEH1,
,,,CCDC124,
,,,TIMM50,
,,,WDR75,
,,,KAT2B,
,,,RCN2,
,,,SHISA5,
,,,POGZ,
,,,FBLIM1,
,,,ARHGAP26,
,,,YIF1A,
,,,HACD3,
,,,C19orf70,
,,,RBM3,
,,,TMBIM6,
,,,TMED5,
,,,MOSPD1,
,,,TES,
,,,DKK3,
,,,CMPK1,
,,,COX7A1,
,,,LAMC1,
,,,UFM1,
,,,GABARAPL2,
,,,CUL2,
,,,MORF4L1,
,,,SNAP23,
,,,NOTCH1,
,,,CDV3,
,,,SLC25A46,
,,,ABCA5,
,,,GPAA1,
,,,HHEX,
,,,BTBD10,
,,,DCTN2,
,,,FLNB,
,,,ORC5,
,,,FMC1,
,,,LYSMD2,
,,,ABCE1,
,,,BLOC1S4,
,,,NTN4,
,,,DDX21,
,,,TMEM140,
,,,FBXO25,
,,,FBXO34,
,,,PUM3,
,,,ABHD14A,
,,,NR2F2,
,,,ST8SIA6,
,,,PPWD1,
,,,ERH,
,,,ATP1B3,
,,,DECR1,
,,,SNX9,
,,,CARD6,
,,,PRKD2,
,,,PRPS2,
,,,C15orf61,
,,,FBXL15,
,,,TMEM159,
,,,MED13,
,,,HNRNPU,
,,,RAB8B,
,,,VKORC1,
,,,EIF2S1,
,,,DDX3Y,
,,,FBXW2,
,,,BLOC1S1,
,,,CFL1,
,,,SELENOK,
,,,PEBP1,
,,,FBXO7,
,,,ZNF675,
,,,ACADM,
,,,NAMPT,
,,,EIF5A,
,,,EHMT2,
,,,PHF3,
,,,RAB35,
,,,IFIT2,
,,,VGLL4,
,,,LMBR1,
,,,NDUFA2,
,,,TNRC18,
,,,CSNK1A1,
,,,ATF6,
,,,VPS26A,
,,,PSMF1,
,,,EHD4,
,,,CLSTN3,
,,,IAH1,
,,,PHKB,
,,,CTSC,
,,,ECSIT,
,,,WDR18,
,,,DNAJC15,
,,,HCFC2,
,,,ARID4B,
,,,HADHB,
,,,TK2,
,,,LDLR,
,,,CTTNBP2NL,
,,,YWHAZ,
,,,SUPT20H,
,,,FARP2,
,,,TRAP1,
,,,IFIT3,
,,,EXOC3L2,
,,,USP16,
,,,EMC10,
,,,ACAT2,
,,,CDK2AP2,
,,,CAT,
,,,45718,
,,,SAR1B,
,,,SPTAN1,
,,,SDHAF3,
,,,ARHGAP18,
,,,LMF2,
,,,NDUFB4,
,,,CDIP1,
,,,ARPC5L,
,,,EIF3E,
,,,NFE2L1,
,,,MSL1,
,,,CR381670.1,
,,,CLTA,
,,,EIF4G3,
,,,WDR1,
,,,PARP9,
,,,PRAF2,
,,,PEPD,
,,,BAIAP2-AS1,
,,,SPATA5,
,,,SVIL,
,,,LYST,
,,,ZCCHC8,
,,,MYCBP2,
,,,PITPNB,
,,,PHTF1,
,,,RPAP3,
,,,PPP1R7,
,,,RIOK3,
,,,ARHGEF3,
,,,ZFAND3,
,,,CCS,
,,,GTF2A2,
,,,ABI3BP,
,,,ENY2,
,,,PRPSAP1,
,,,CUL4B,
,,,IARS,
,,,ICE2,
,,,SYNPO,
,,,IMMT,
,,,ITGA10,
,,,PROS1,
,,,EXOSC6,
,,,CCT7,
,,,TBC1D2B,
,,,CAPZB,
,,,ZMYND8,
,,,UBALD1,
,,,CALD1,
,,,SASH1,
,,,KIAA0040,
,,,ING4,
,,,NRIP1,
,,,C12orf65,
,,,COX7A2,
,,,DYNC1LI1,
,,,TMEM120A,
,,,STK25,
,,,LIMS1,
,,,SLC50A1,
,,,RAB13,
,,,NDUFB11,
,,,FOXN2,
,,,UBAC1,
,,,HECW2,
,,,H2AFJ,
,,,EPN2,
,,,RAC1,
,,,ZCRB1,
,,,PSMC3,
,,,DANCR,
,,,PGRMC1,
,,,IGF2R,
,,,SLC25A1,
,,,ETFRF1,
,,,SEC62,
,,,KIFAP3,
,,,SLC20A1,
,,,APH1A,
,,,TANC1,
,,,RPAP2,
,,,FIBP,
,,,SFR1,
,,,45907,
,,,GLRX5,
,,,ACBD3,
,,,UQCRC1,
,,,GYG1,
,,,PDPR,
,,,CSDE1,
,,,TPD52L1,
,,,ZNF395,
,,,BBS2,
,,,MANBAL,
,,,TIMM17A,
,,,WWC3,
,,,CENPC,
,,,WDR43,
,,,COX8A,
,,,ZNF131,
,,,CSTF3,
,,,BRWD1,
,,,WDR82,
,,,CCDC80,
,,,AP3S1,
,,,PKIG,
,,,ARHGEF15,
,,,GRN,
,,,CAPRIN1,
,,,LXN,
,,,COPE,
,,,HSD17B11,
,,,TLE1,
,,,CCND3,
,,,RNF41,
,,,ARPC5,
,,,FAM241A,
,,,POLK,
,,,YME1L1,
,,,MZT2A,
,,,SDCBP,
,,,UTP11,
,,,AP3B1,
,,,CCT4,
,,,MYO1E,
,,,GPATCH11,
,,,GBP3,
,,,ATP5IF1,
,,,PRKRIP1,
,,,RNF4,
,,,SAMM50,
,,,MAP3K13,
,,,NIPBL,
,,,STX8,
,,,EIF3H,
,,,GRK5,
,,,PSMD1,
,,,DERL2,
,,,SH3BGRL,
,,,TERF2IP,
,,,FAXDC2,
,,,YWHAE,
,,,ESF1,
,,,TRMT1L,
,,,ARF3,
,,,EIF3M,
,,,VPS29,
,,,STRN4,
,,,PSMG2,
,,,LIMCH1,
,,,ATP1B1,
,,,C9orf3,
,,,DNAJC3,
,,,SPTLC2,
,,,NUFIP2,
,,,TCEAL3,
,,,ABHD2,
,,,DPYD,
,,,JAM2,
,,,GOLGA1,
,,,S100PBP,
,,,KIAA1551,
,,,IFNAR1,
,,,SOX7,
,,,IMPDH2,
,,,GAA,
,,,COX7A2L,
,,,NSD1,
,,,SPDL1,
,,,COX6B1,
,,,SWAP70,
,,,RTN4,
,,,TMTC1,
,,,KMT2A,
,,,LARP4,
,,,CMTR1,
,,,MPC1,
,,,PIN4,
,,,ERP29,
,,,TCEAL2,
,,,THRAP3,
,,,RSPRY1,
,,,HNRNPAB,
,,,METAP2,
,,,SEC61B,
,,,NARS,
,,,RHOG,
,,,HNRNPR,
,,,VEZF1,
,,,MX1,
,,,SLU7,
,,,TUG1,
,,,ZNF331,
,,,SUPT16H,
,,,FUT8,
,,,UTP20,
,,,PTTG1,
,,,MEA1,
,,,GLT8D1,
,,,PRDX4,
,,,MED4,
,,,CARD19,
,,,ACBD6,
,,,DHX8,
,,,UVRAG,
,,,DDX18,
,,,NOLC1,
,,,HLA-DPA1,
,,,DDX50,
,,,CAPZA2,
,,,ERCC1,
,,,ACSM3,
,,,PDCD2,
,,,NCK1,
,,,RNASEH2C,
,,,BCL7B,
,,,WAC-AS1,
,,,RNF141,
,,,ZNF366,
,,,HNRNPUL1,
,,,SNAPC5,
,,,CCT6A,
,,,FAM177A1,
,,,ZFAND6,
,,,AC092070.2,
,,,MTPN,
,,,TAPBP,
,,,CLGN,
,,,COPZ2,
,,,CSNK2A1,
,,,CKB,
,,,AC022400.7,
,,,IDH3G,
,,,TSG101,
,,,H2AFZ,
,,,RHEB,
,,,SOX17,
,,,KRT10,
,,,AKAP1,
,,,KRT8,
,,,SF3A1,
,,,TCF25,
,,,CWC27,
,,,CLDN5,
,,,PDHA1,
,,,CTSH,
,,,TSPAN12,
,,,LAGE3,
,,,C7orf50,
,,,CRYBG3,
,,,RUFY2,
,,,NAA15,
,,,COA3,
,,,ORAI1,
,,,GNG5,
,,,ZDHHC3,
,,,RNF216,
,,,UQCRC2,
,,,ZDHHC5,
,,,LAYN,
,,,SP110,
,,,CCNK,
,,,PFDN2,
,,,ZCWPW1,
,,,ASCC3,
,,,MDH2,
,,,ECHS1,
,,,DCAF12,
,,,TUFM,
,,,DNAJC10,
,,,HEIH,
,,,PNPLA8,
,,,NCBP2,
,,,RTN2,
,,,CCDC66,
,,,VPS35,
,,,PRMT2,
,,,ETS1,
,,,SCOC,
,,,NOC3L,
,,,SETD2,
,,,MTIF3,
,,,CD2AP,
,,,MED31,
,,,CDH13,
,,,EIF5B,
,,,HEG1,
,,,ATP6V1A,
,,,LAMTOR2,
,,,LARS,
,,,TAF12,
,,,TPD52L2,
,,,DIS3,
,,,MTA3,
,,,UBR2,
,,,AL118516.1,
,,,ABCB1,
,,,SACM1L,
,,,ID2,
,,,SOCS2,
,,,RGL2,
,,,IFI44,
,,,TMED9,
,,,ALKBH7,
,,,PIM3,
,,,HLTF,
,,,UQCRH,
,,,HMGXB4,
,,,TMEM141,
,,,GTF3A,
,,,MINDY4,
,,,TM4SF18,
,,,UROD,
,,,DCAF5,
,,,CD46,
,,,DEPP1,
,,,R3HCC1,
,,,OTUB1,
,,,AIMP1,
,,,GGNBP2,
,,,NUP37,
,,,ITGB4,
,,,ZNRD1,
,,,CHMP2A,
,,,SUDS3,
,,,PPFIBP1,
,,,POLR2B,
,,,POGLUT1,
,,,RNF125,
,,,EIF4A2,
,,,BUB3,
,,,PRPF40A,
,,,CUL1,
,,,PSMC6,
,,,MED29,
,,,SERPINA5,
,,,ZNHIT3,
,,,NAPG,
,,,PAPD4,
,,,SLK,
,,,CKAP5,
,,,PPP2R2A,
,,,STAU1,
,,,CWC25,
,,,DHX36,
,,,PLEKHA1,
,,,TUBB6,
,,,ECE1,
,,,ODF2L,
,,,MYNN,
,,,DDX60L,
,,,RASSF9,
,,,U2SURP,
,,,ADSS,
,,,AGPAT2,
,,,TBPL1,
,,,IFT20,
,,,COMMD3,
,,,TTC3,
,,,DUBR,
,,,BRMS1,
,,,IFI27,
,,,KAT7,
,,,EXOC1,
,,,CNOT2,
,,,MPHOSPH10,
,,,VEZT,
,,,ZNF677,
,,,FAF2,
,,,RBM25,
,,,MTF2,
,,,PTK2,
,,,AP2B1,
,,,ARL3,
,,,PTTG1IP,
,,,RBMX2,
,,,ARHGAP31,
,,,GART,
,,,HLA-DQA1,
,,,TROVE2,
,,,TWISTNB,
,,,N4BP2L2,
,,,TIPARP,
