EC-OA,EC-AZFc,EC-INOA_B,EC-KS,EC_INOA_S
,TXNDC2,BLCAP,FUNDC2P2,PSME1
,TCN2,IPO5,FAM84A,AC018558.1
,HOOK1,IFI27,MT2A,TKTL1
,SPATA12,TIMM50,TPM4,PPP1R14A
,NRAV,RNH1,PNRC1,AC008267.5
,ARHGAP28,ATP6AP2,ELOVL2,MAGED2
,TSC22D3,NTRK3-AS1,TXNDC8,IGLC2
,SPATA24,C10orf82,CFAP97D1,AC104971.2
,SSX2IP,NUDT14,SNHG6,ASB17
,WASF1,RNF38,NDUFS7,SLIT2-IT1
,CCT2,GABARAPL2,JUND,DAB1-AS1
,IFT57,RAB5C,SEC14L1,TMCO5B
,TAPBP,PPT1,ATP5F1D,SPATA46
,SPATA9,C3orf38,MZT2B,SPANXN4
,LINC01676,EIF3M,PPIA,AC007681.1
,AC239803.2,RAB1A,KIF2B,ABHD1
,C3orf22,EIF3D,GBP4,CYSLTR1
,AC097375.2,TSC22D1,HNRNPD,GBP4
,TMEM53,FKBP5,SPATA9,TXNDC2
,AKAP14,SAMD4A,TBX18-AS1,CREM
,WASHC3,CXCL16,MAP3K14-AS1,SPATA12
,LINC00919,CCDC136,AC025524.2,CNTFR-AS1
,TXNDC8,ACRBP,HYPM,TBC1D21
,RFPL3S,ACTRT2,SIRPD,DRICH1
,LINC01539,SPANXB1,MIF,CSNKA2IP
,RBP7,COX7A2L,SAMD4A,TMEM210
,KLHL10,PIM3,IQCF3,COX7B2
,CTNNA3,C14orf119,CCSER2,LINC01667
,HMOX2,PCAT19,ZBTB20-AS1,C20orf85
,KNSTRN,SRP9,S100A6,AL157756.1
,ATP1B3,NSUN4,PRR30,PRSS58
,TTC29,BAG1,NES,SPANXN3
,PSMF1,MTCO1P12,TM4SF1,ZNRD1ASP
,BRDT,PPIC,BANF2,SPRY1
,OSBPL10,NDUFS2,LINC00293,HLA-C
,GLRX2,WASF2,PDIA6,JPT1
,GPX1,AQP5,LCA5L,NUCKS1
,HES1,C10orf53,SLIT1-AS1,RNF17
,EFCAB6,AKAP14,CD63,OTUB2
,IRGC,ROPN1,SMKR1,PECAM1
,IQGAP2,H1FNT,ITM2B,CAVIN2
,FDPS,H2AFJ,FLNA,ZBBX
,FAM120B,HLA-DQA2,SPATA7,LINC01723
,ISCA1,TEX26,FSCB,AC006012.1
,PIK3R3,CYLC1,IFITM3,LINC00710
,PPP4R1L,DDI1,S100A13,MACROD2-AS1
,FLII,HLA-DQA1,OST4,AC135977.1
,KIF2B,RNF168,VWA3B,AC008114.1
,ABHD1,NUCB1,MTUS1,LRRD1
,TMEM270,CLPB,SPANXN4,SYCE3
,C20orf85,SLC39A1,PIK3C2A,PP2D1
,FAM71C,ACP1,DKKL1,AC097375.2
,DZIP1,ANXA4,AC209154.2,LINC00927
,RGS22,KIF2C,GNAI2,HIST1H2BA
,LINC00927,ARPC4,FAM209B,TMEM270
,OTUB2,ATP5F1B,CRTAP,SPACA1
,DDX5,RUVBL2,TIMP2,RPGRIP1
