Immue-OA,Immue-AZFc,Immue-INOA_B,Immue-KS,Immue-INOA_S
SLC2A12,ILK,EHD4,LYVE1,EGR2
SLC9A3-AS1,VIM,GIMAP7,EIF4G2,CX3CR1
SMO,CALCOCO2,HLA-DMB,CITED2,DYNLRB2
SMIM2-AS1,PSTPIP2,MPP1,DDIT4,CCL3
SMTN,CAPZB,EIF5A,NCOA4,ANPEP
IDO1,RNASE3,HDLBP,TPPP2,ALOX15B
AL590302.1,EEF1A1,TREM2,CABS1,MS4A6A
C17orf50,EMP1,VMP1,CD52,CYBB
ODF3,MYL6B,MTRNR2L1,TRBC2,SDCBP
ICAM3,HIST1H1E,HSP90B1,CAPZA2,ENO1
OR7E24,DDT,SNX10,AES,TCP10L
TEMN3-AS1,LAMTOR1,SERPINA1,MNDA,KIF2B
AL928654.4,ARHGDIA,ILF2,SRSF9,PRR30
DEPDC1B,CDC42,LTA4H,CALM2,TEX36-AS1
AC091534.1,AC103591.3,COTL1,KLF4,CETN1
AC091812.1,HNRNPD,ADAM9,SHTN1,FSCB
ROR1,SMARCA1,MFSD1,RTN3,BX119904.2
SCART1,TAPBP,MYL12A,HLA-F,SPATA4
TFAP2C,CFL1,EIF3E,CKLF,TKTL1
AC007610.2,SAMHD1,HEXB,NCF2,S100A11
AP003171.2,ACTB,CALR,HLA-C,FAM71E1
POM121L12,SMAP2,HSP90AB1,TMBIM6,ACTR2
U62317.3,TSPO,CCL4,SNX6,STAB1
A2MP1,MT-ATP6,S100A8,FPR1,F13A1
TM9SF1,RHOA,SLC7A7,RERGL,MS4A4A
FGFRL1,EGR1,PSMG2,NFKBIZ,B2M
AC108704.1,SPACA3,CABS1,RAC1,BTG2
ENHO,HADHA,TPPP2,PLAC9,LHFPL2
AC079943.2,CCL8,MAN1A1,HCLS1,ACTB
SFT2D3,CALD1,LAMP2,CD48,AKAP3
SNHG27,HLA-DRB1,TMBIM6,MSN,LCA5L
FAM83D,ACTA2,HLA-A,SPTY2D1OS,COLEC12
AC108673.3,ARL2BP,ERGIC3,CPM,CLU
MYB,CCDC168,APBB1IP,IER5,CLIC1
AC026951.1,BEX1,HAVCR2,GPR34,HSPA8
AL021026.1,FAU,CORO1C,ILK,VAMP8
BTLA,SKAP2,NPC2,DDT,PDCL2
SYTL1,C1QB,ANPEP,CAPG,ROPN1
FAM166A,BTG2,NUPR2,MS4A4A,YBX2
AC092447.8,TCP11,CHMP2A,GZMA,LINC00943
RNASEH2A,PRND,GSTP1,FCGR2A,C5orf52
BEND3,PRDX1,DRAM1,ATP5ME,SCP2D1
AC139495.3,SERPINA1,MT-ATP6,AP1S2,MAGEB2
ERBB2,ALDH1A1,KDELR1,ZEB2,C9orf153
SLC9A5,CEBPA,LRRK2,GLUL,BRDT
ZNF662,CITED1,ELOVL1,CSRNP1,SIRPD
KAZALD1,SRP72,AKAP4,MS4A7,AL133371.1
TRIM58,FSCN3,GSG1,DDIT3,SPACA4
AL592486.1,TNFRSF11A,TMEM176B,HIST1H1E,FAM187B
AL592114.1,ETS2,CPM,RNU4ATAC,IRGC
UNC119B,SHTN1,RNH1,HSPB1,KIF2C
AC091013.1,GPSM3,LITAF,DCUN1D1,SLA
AC091057.1,TUBA1C,FTH1,IL32,FTLP3
ACSM3,IL18,SQOR,SESN1,AHNAK
KCTD13,ALOX15B,CCT7,ADAM10,NFKBIZ
TRPM1,LPCAT2,ADIPOR1,MOB1A,GRN
EPPK1,LEMD1,HADHB,CYFIP1,GPR82
AC090200.1,DEFB123,PLTP,VAMP8,GTSF1
KCP,IL1R2,ARF1,HIST1H1D,PNRC1
CDC20P1,IFI27,FNDC3A,CEBPA,AP2A2
FZD5,VMP1,TMBIM1,SRSF7,CORO1C
MT-TD,SPATA3,AL138899.1,PARP14,MAP3K14-AS1
DHCR7,TCEAL9,CYFIP1,CLEC5A,CAST
SULT2A1,PEG10,SORT1,CAPZA3,CFP
PRELID1,PARP14,CALCOCO2,CPVL,CPVL
PRKCA-AS1,B2M,FOS,ATP6V1F,CEP170P1
GRAP,FAH,OS9,RNU5F-1,GPNMB
CCL14,AC084871.2,SCPEP1,GADD45G,PSORS1C1
TREML2,BIN2,ESD,SPARCL1,SPATA33
SAMD3,CTSA,VAMP8,IGF1,RNASE3
SCRIB,YWHAZ,HSP90AA1,PAK2,HSP90AB1
ANKRD20A21P,NOP10,LAIR1,CTSH,AKAP14
H3F3AP6,SPTLC2,NCF2,GNS,AC092666.1
ARHGAP33,SH3RF2,SLC25A3,AKAP4,SPATA16
FAM131A,CADM1,LY6E,TRAC,TEX48
AC092069.1,GPR82,FCGBP,PTGER4,CYLC1
GPM6B,GSTP1,FAM229B,TMOD3,AC008114.1
GPR31,LIPA,DCUN1D1,AL138785.1,HYPM
LINC01589,SLC25A37,FCGR2A,STUB1,MS4A5
RIBC2,MT-RNR2,LAT2,METTL7A,PGK2
AC092634.8,PAK2,UQCRH,NOP10,SYCE3
