Myoid-OA,Myoid-AZFc,Myoid-INOA_B,Myoid-KS,Myoid-INOA_S
,NOTCH2,NKAPL,DNAJC3,EIF5
,PCBD1,NET1,RAI14,DCTD
,MAPRE3,C1orf198,GPRC5C,PROK1
,ALMS1,FTL,COX4I2,TM4SF1
,RBM8A,TRNT1,COPS7A,SMIM26
,TUBG1,AOX1,TSEN34,TIAM1
,PROS1,IFITM3,EMC10,MYOCD
,FAM76B,COL21A1,TMEM225B,F3
,GRHPR,SORBS2,TMEM179B,MARF1
,PSMC1,L1TD1,45902,ZFX
,STK38L,TCEAL1,UTP18,INSR
,NUP98,PPP1R3C,GUCY1B1,PTGR1
,NPIPB15,C1QTNF2,VAMP2,RARRES2
,FAM200A,C11orf65,FDFT1,HSD17B12
,DCP2,IDE,RAB6B,ARID5B
,CHGA,NLRP1,H2AFX,CPQ
,FNBP1L,SRPX,NCOA2,SLIRP
,CYB5A,TNFRSF12A,C1orf43,SLMAP
,MTFR1,LCMT1,COMT,SEC11A
,DNALI1,SRGN,PCCB,PTP4A2
,PNISR,MARCKSL1,CACNA1H,ZYX
,BRD3,UQCR11,CCL3L1,NONO
,HSPA1A,LRP1,ZHX3,ACAP2
,SMARCA2,NAPA,MDM4,LIPA
,CFAP43,ATP5F1E,GTF2A2,RAB5B
,GNG11,ANP32E,LYRM1,SARAF
,ABHD14A,MGST3,ENPP4,C7
,ABHD14B,ADGRE5,SNHG25,SRSF3
,NDUFC2,RHOQ,CCL4,CHORDC1
,GLUL,NDUFB1,PSMA2,COX14
,CORO1C,CSRP2,POLR1B,CAMSAP2
,SOCS2,UBB,ZDHHC20,MEF2C
,PKD2,HSPE1,SDHD,IVD
,CLEC11A,CYP11A1,AKR1C2,VGLL4
,ABRACL,SCUBE1,ECI1,XIAP
,MINOS1,B2M,NDUFC1,ECH1
,HDGFL3,VIM,PCDH10,DYNC1LI1
,ZCCHC8,PTMAP2,CCNK,MOCS2
,ZNF451,SRRM2,CEP162,JUND
,DPT,PPP2R2D,BECN1,EBLN3P
,PHB2,SERPINE1,TTC12,CCNL1
,RNF32,TOMM7,HSPA12A,GOLGA7
,TSKU,LINC00476,CSDC2,LRIG3
,UBE2J1,NDUFB2,FAM89B,PTPRA
,TIMM50,SEC61B,RNMT,EBF1
,DDX39A,UACA,PRMT5,ATP5MD
,TSPAN3,SF3B3,PGF,PDS5B
,RDH14,CALD1,PTPN13,MGST1
,FOXO3,INPP4B,DDIT3,SSBP2
,SMTN,HEXIM1,HBEGF,TMEM47
,ZNF503,HNRNPA3,ENPP5,TMEM97
,WNK1,HSP90AB1,PRDX5,HS3ST1
,RARA,ANXA1,KCNMA1,SCUBE1
,ETV1,KRT17,CCDC124,ADAMTS1
,SLMAP,MT-TP,RAE1,SNRPB2
,TMED3,MEF2C,TRIM8,PSMB4
,GNAO1,SPATS2L,THAP2,TMEM109
,LEPROT,DDX24,EGR3,CBR1
,ZNHIT3,WASF2,PSMB4,FNDC3A
,C19orf12,SMIM26,UBAP2,VCAM1
,FER,NDUFC1,EDC3,SPEN
,COQ6,NR2F2,SOCS1,MBTPS1
,DCTD,PSME1,MED7,ZNF483
,PLP1,,ANAPC16,EPB41L1
,AC005261.1,,C5orf51,SDCCAG8
,RNF157,,PARP6,CMIP
,SYNM,,VSIR,PRMT1
,NOL3,,SBNO1,DEK
,PRKAA1,,EIF1,RBM43
,LSM14B,,CPXM2,CD44
,LYPLA1,,METTL26,CUX1
,RPRD1A,,ARF4,STAU1
,PLLP,,ITGB5,NRIP1
,MAP4,,PKIG,GRB14
,LAG3,,CDC42,PARVA
,EIF4G2,,APCDD1,MZT2A
,CDKN1C,,PQBP1,ARL3
,NOL10,,GBP4,SPRED1
,BEND5,,SPECC1,SYNGR1
,MAGEF1,,ACAA1,EAPP
,MLXIP,,PPP1CA,FAM168B
,RBBP8,,USP46,COL6A1
,NDRG1,,HSPA2,OSR1
,PSMB4,,RBM42,FMR1
,MS4A6E,,ZMAT5,ITIH5
,TBC1D9,,ISCA1,PGM1
,SMIM14,,LSM1,ZRANB2
,GINM1,,B3GNT2,CTSL
,IDH3A,,NDRG3,ALDH1A1
,TRIOBP,,MKRN2,SNX7
,STMN1,,HLA-B,KRT17
,MAGI2-AS3,,HEY2,FYTTD1
,ACTRT3,,DCTN2,ZNF37A
,TPD52L1,,RNF130,LRRFIP1
,PDLIM2,,PLEKHH3,ZHX1
,PLGRKT,,EDF1,APLP2
,TIMM13,,SPATA20,YTHDC1
,ZNF37A,,MSL1,TAX1BP3
,PDLIM5,,TFPI,PGAP1
,HEBP1,,NSA2,ZNF292
,SNX3,,SSPN,USP22
,MRGBP,,SLC2A4RG,TKT
,SERP1,,EIF3E,ANKRD10
,FAM13C,,SERINC3,CD81
,IDI1,,DNAL1,HHIP
,COPS7A,,PIP4K2A,IGF2-2
,PTCH1,,UNC45A,MXD4
,FOXC1,,FUT10,DNAJC19
,PSRC1,,XRCC5,ME1
,SLC25A3,,RHOQ,SEC63
,AEBP2,,C22orf39,TFRC
,EMP3,,POLR2I,ZYG11B
,EIF4A3,,GSTM1,SERINC5
,RSRC2,,GSPT2,ZNF518A
,EIF3M,,HNRNPU,SP3
,ANTXR2,,CYP2R1,HSPE1
,UBE2DNL,,FZD1,HLA-DPB1
,COX6A1,,SUPT3H,CHD9
,BEX2,,CYP20A1,STXBP1
,DEAF1,,SNHG5,CELF2
,USP37,,SRSF2,ERBIN
,HNMT,,FAM114A1,LRPPRC
,GUCY1A2,,CDH6,EBPL
,USP25,,CILP,KHDRBS1
,ZDHHC4,,RTL8C,KDSR
,CSRP1,,CSRNP1,TMTC3
,IQGAP1,,ROCK1,MAGI2-AS3
,ARHGDIB,,ENO2,ATP2A2
,HDAC11,,CEP57,CEBPD
,GLUD1,,KCNAB1,MTUS1
,CTNNA2,,TMEM167A,IL17RD
,PHLDA2,,SPRYD3,HSPH1
,CTSC,,ACOX1,NBL1
,STAMBP,,EMILIN1,PPIG
,PEX19,,BICC1,GATAD2B
,NFE2L2,,CHGA,LIMS1
,AR,,AIMP2,USP9X
,PSME2,,PHF8,PANK3
,FNBP1,,GCC2,ZBTB4
,ZFAND3,,KLF5,ADI1
,KLF13,,FER,MLH3
,SEMA3C,,TXNRD1,WDR83OS
,DAP,,TCEAL1,PDLIM3
,VTI1B,,ZFPL1,ACTB
,LINC01497,,PDCD4,PHACTR4
,MAATS1,,AQP1,C1orf115
,AMOTL1,,GTPBP6,RFC1
,SNTB2,,SMARCD3,IGF2R
,S100A13,,SNHG7,ZNF260
,ITM2A,,ATP8B2,SAT2
,SRSF4,,TBCB,PLSCR4
,PSME4,,MTCH1,NDUFA11
,NIPSNAP1,,DDX6,GPX8
,MPC1L,,UQCRC2,SS18
,LRPAP1,,YAP1,EIF3H
,SUPT4H1,,CDK6,HNRNPA0
,SMARCB1,,AC034236.1,KCTD20
,IGF2-2,,C1orf56,MT1E
,SMIM26,,NUBP1,NDUFA13
,C15orf61,,C16orf72,ADAR
,LAMTOR3,,ZNF32,NET1
,ARPP19,,RSRC2,FAM13C
,CAMK1D,,FBLN7,LMAN1
,SYAP1,,TSPAN3,FKBP7
,RNH1,,PDLIM5,CPPED1
,H2AFJ,,MAPK8,ANKRD12
,NSMCE4A,,SNRPN,CYP26B1
,SDF2,,CCDC66,LRRC17
,KRR1,,TSR2,TOP2B
,TUBA3D,,NUBP2,PCNP
,TMEM38B,,IFNAR1,TMEM18
,HSP90B1,,DAAM1,RRAD
,RFTN2,,SDF4,CIR1
,ACSL4,,RASL12,KIAA1143
,ZNF217,,PPP1R12A,RBL2
,METTL7A,,CTDSPL2,AC118549.1
,ETS2,,MMP24OS,PURA
,RAC1,,DAPK3,PLP2
,AC027288.3,,GGTA1P,DENND4C
,TMEM9,,CD81,RORA
,USP15,,EHBP1,GNS
,FBXO7,,SSR3,TRA2B
,NANS,,PGRMC2,LARP7
,RAD17,,DLK1,CYB5A
,CEP41,,ZFR,RYBP
,C2CD6,,UQCC3,TAOK1
,CHRAC1,,DEK,DAAM1
,CUEDC2,,ADAL,EHD2
,PPP1R12A,,ATAD2B,POLR2G
,ATP6V1G1,,ZSCAN16-AS1,CCDC80
,CCDC62,,HDAC11,ANGPTL1
,NCOR2,,HSPH1,WAC
,AHI1,,NUP153,HLA-B
,FMR1,,ATP1A2,TIAL1
,MBNL3,,C11orf1,LSM5
,NCOA1,,TRMT5,SNX9
,ZNF667-AS1,,RAP1A,ZFP90
,CREBL2,,WASF3,PRDM2
,LINC00658,,CCNH,WNK1
,ZKSCAN1,,KIF3B,CHCHD7
,YIPF3,,FADS1,ZC3H13
,CNPY2,,SEC24D,ERG28
,PDCL3,,EVA1B,TMPO
,CMPK1,,KHDRBS1,FAM13A
,MOSMO,,45901,FAAP20
,AC018521.5,,BSG,MDK
,WFDC3,,TOX4,MAP3K20
,EI24,,ZNF703,BORCS7
,LINC01578,,NBAS,LDOC1
,BAG6,,SCFD1,IFI27L1
,NDUFS4,,CBX7,CRK
,RFX3,,AC009414.2,PRRX1
,ST6GALNAC4,,PSMC3,ATF4
,ATP6V0E1,,YPEL3,NENF
,CHMP1B,,LRP10,FAM172A
,FRZB,,GTF3C3,NFKBIA
,TRBC2,,AKIRIN1,MBNL2
,TPRG1L,,TRAP1,PSD3
,KRT19,,CLASP1,CEBPZOS
,CHORDC1,,SMIM29,YY1
,ALDH3A2,,TOMM20,CCDC74A
,DHRS7,,DESI1,BUD23
,ZBTB20,,CNN3,
,KCNIP3,,SNX6,
,PURB,,AP2M1,
,ACP5,,KIF13A,
,CAMK2N1,,SON,
,ANKRD11,,SNAP29,
,ABR,,MAP7D1,
,TTC28,,EMP1,
,FDX1,,SMIM26,
,MAN1A1,,PRDX4,
,RNASET2,,MTCO1P12,
,MVP,,AKR1C1,
,RANBP2,,CHMP3,
,GOLPH3,,RGS5,
,SEM1,,INF2,
,SAV1,,CYC1,
,CDC42BPB,,PHLDA3,
,RAP1GDS1,,SIGMAR1,
,ZDHHC3,,ATG101,
,CSNK2B,,CCZ1,
,MYO1E,,PSMC1,
,ANKRD35,,ARHGAP35,
,DCAF1,,USP37,
,HCG11,,PSMD12,
,SNRPE,,TESK1,
,EDF1,,HNRNPUL2,
,RNF141,,TBPL1,
,ECI2,,DEPP1,
,PTPN21,,CUL4B,
,SUPT5H,,ARPC4,
,EIF3K,,SPART,
,ACTR3,,TMBIM4,
,BLVRB,,AAMP,
,RNF6,,DHX36,
,FRYL,,LGALS8,
,WDR83OS,,NUCB1,
,COX7A2,,FAM98A,
,SEPHS2,,KPNA3,
,ATP5MD,,BRD8,
,POGZ,,ATM,
,RANBP9,,MERTK,
,TMED9,,SLC51A,
,MFAP2,,KIZ,
,PCOLCE,,CYHR1,
,PTGR1,,ADIPOR2,
,MTSS1,,PA2G4,
,UBE2E1,,HEIH,
,ARHGEF25,,FBXO21,
,LAGE3,,DYNLRB1,
,PDCD7,,ENPP6,
,BRD7,,PDIA6,
,HMG20B,,MXRA7,
,GATA4,,ELN,
,LGALS8,,ANP32A,
,ARHGAP35,,DCUN1D4,
,APOC1,,NUDT4,
,AL118516.1,,SUMF2,
,MCFD2,,SSR4,
,KIAA0586,,APOO,
,C12orf75,,DHX29,
,SLC25A5,,NIPSNAP3A,
,PCM1,,NEK7,
,LACTB,,MYO9A,
,SRI,,KDELR2,
,NTAN1,,HMG20B,
,PPP1R3C,,SPEF2,
,ERRFI1,,CSNK2B,
,NRIP1,,CDC5L,
,NCSTN,,EIF3H,
,PPIP5K2,,SLC39A10,
,MAGOH,,R3HCC1,
,BX119904.2,,COG2,
,FGFR1,,AKR1A1,
,SCRN2,,ATP6V1D,
,CPQ,,C6orf62,
,RBM42,,TEX10,
,FDFT1,,HSD17B12,
,MKL2,,TMEM200B,
,CITED2,,MPC1,
,STIP1,,MPZL1,
,ZSCAN16-AS1,,EXOC4,
,IQCG,,SSBP1,
,MLLT6,,MEF2D,
,PRAF2,,IRF2BP2,
,NDUFV1,,GRHPR,
,CTDSPL,,CXCL2,
,RALY,,HNRNPM,
,SYT11,,AC008038.1,
,FKBP5,,CLCN3,
,TMX4,,MAN1A1,
,B4GAT1,,ZFAND6,
,LUM,,KXD1,
,SLC25A46,,SH3GLB2,
,NRBP1,,C7,
,CCDC124,,NDUFB10,
,PARVA,,SEC62,
,KIFAP3,,CEP70,
,SCARB2,,SDC2,
,MAF1,,DDX3X,
,HNRNPA3,,NCBP1,
,MPC1,,HTRA2,
,NMRAL1,,CWC15,
,FUS,,ITM2B,
,MRTO4,,ITGB1,
,ZRANB1,,PPP1R12C,
,SERPING1,,VPS13B,
,ESYT2,,PSMG2,
,CELF2,,RIOK3,
,APMAP,,COX14,
,RGS22,,PPP6R3,
,RHOQ,,NCOA3,
,METTL9,,CKLF,
,KDM5B,,IFT88,
,PIAS2,,KIAA0586,
,GTF2I,,TRIM13,
,SNHG9,,ATF7IP,
,CILP,,CSPG4,
,TMEM14B,,ARHGAP29,
,PHC2,,MXI1,
,NBEAL1,,GIGYF2,
,SFT2D1,,ADCY3,
,RAB22A,,CDK2AP2,
,CCDC66,,ING1,
,HNRNPH1,,FAM198B,
,CRYAB,,ATP5S,
,CDS2,,GAPVD1,
,CENPJ,,SRSF5,
,HNRNPUL1,,45910,
,ALDH2,,NUDC,
,PTP4A2,,TNKS,
,HNRNPU,,SNX21,
,TMCO1,,APLP2,
,SPPL3,,SYNGR1,
,FBXO25,,ATL3,
,ID2,,ZNF43,
,MAP3K20,,FOXP1,
,FBXW2,,HLA-F,
,AC005912.1,,G3BP2,
,MEGF8,,CTNNA3,
,CHMP2B,,TUBB2A,
,GADD45GIP1,,ALDOC,
,IMPAD1,,RGL1,
,ME1,,DTX3,
,BORCS7,,ERH,
,BTG3,,LARP7,
,PSMB8,,PTGIS,
,HNRNPH3,,COL6A3,
,PCCB,,PRR34-AS1,
,ARMC4,,JTB,
,FAXDC2,,PFDN5,
,HECTD1,,H2AFY,
,CDK11B,,WDR48,
,ETFB,,EMX2,
,FAM120AOS,,PNPLA2,
,LYZL6,,ARHGAP5,
,PSMA4,,YWHAB,
,ACRV1,,ZNF219,
,ENDOD1,,HGS,
,SHOC2,,PSMD6,
,MYDGF,,RBP1,
,AURKAIP1,,TMBIM1,
,CPED1,,DSE,
,KPNA3,,VPS35L,
,NCBP1,,IRF1,
,DAD1,,COL21A1,
,JAK1,,SESN1,
,TNNC1,,RFX2,
,TUBB6,,FUS,
,MANBAL,,CDKN1A,
,SF3B6,,CD63,
,VPS28,,CDIPT,
,LIMS1,,SMC6,
,FLII,,NAXE,
,KATNA1,,MEIS2,
,PLEKHA1,,COL27A1,
,ZDHHC20,,YBEY,
,POLR2C,,DECR1,
,SNAP23,,CTSA,
,EFHD1,,RPRD1A,
,SNX7,,STX8,
,ZNRF4,,RNPC3,
,PSMD12,,HNRNPA1P48,
,DCTN3,,PMEPA1,
,C1orf122,,SEMA3C,
,MMP24OS,,PRPF31,
,MAP2K2,,FAM219B,
,CRBN,,MLF2,
,AHSA1,,CALHM2,
,DPY19L4,,VPS45,
,KDSR,,POC1B,
,PTPN9,,RBM8A,
,CHCHD7,,FEM1B,
,CHMP3,,APOE,
,FKBP7,,RAN,
,ACTN4,,CS,
,ERG28,,INO80E,
,UQCC3,,PHF20,
,TMEM97,,NCS1,
,COA5,,SEC23IP,
,FMC1,,LARP4,
,GADD45G,,SNAI2,
,TRIM22,,NDUFB11,
,WDR48,,XRCC1,
,ATP5PB,,IFI6,
,ITPR1,,SYNPO,
,SMIM7,,TRMT112,
,ADCY5,,ATP6V0E2,
,STAT5B,,SELENOH,
,ABCA8,,UBE2E1,
,UBA2,,EGLN1,
,PTRH2,,MYOCD,
,ZNF516,,NDRG2,
,LAMTOR1,,CHMP2A,
,PNKD,,PPP1R1A,
,NLRP1,,ACTN1,
,ATP5MG,,LRRCC1,
,QKI,,TESC,
,NDUFB4,,NKAPL,
,OCIAD1,,CENPV,
,PYCR2,,EXOSC4,
,MIF4GD,,PURA,
,BTBD10,,NID1,
,BCAP31,,IDE,
,C22orf39,,EMP2,
,MYO1D,,RPAIN,
,PPP1R2C,,GNAO1,
,MSRB3,,SRSF11,
,CDC37,,CLOCK,
,PNRC1,,NUFIP2,
,BCAP29,,PDAP1,
,CEP70,,S100PBP,
,ACBD5,,FAM20C,
,DDOST,,UBE2J1,
,CETN1,,BRD7,
,GSR,,MTPN,
,ABHD2,,ARL6IP5,
,AC008114.1,,TMED10,
,ACOT13,,NR1H2,
,CCND1,,CDC40,
,ATP5MC3,,EHBP1L1,
,GGTA1P,,MIA3,
,FRY,,CMKLR1,
,PPDPF,,FYTTD1,
,NAMPT,,DIS3,
,DCAF4L1,,NEURL1B,
,EIF4G1,,CUEDC2,
,PCMTD2,,INHBA,
,GLT8D1,,SUGP2,
,STARD10,,PPIP5K2,
,RPA2,,POLR2E,
,JOSD2,,ST13,
,ACTL7B,,STXBP4,
,NDUFA11,,CENPB,
,JAG1,,EPB41L4A-AS1,
,USP46,,NEXN,
,DARS,,AGPAT1,
,RABAC1,,CDS2,
,EIF5,,PGAM1,
,PEPD,,TAX1BP1,
,STAT6,,TMEM230,
,ZNF677,,PCM1,
,SAP18,,SREBF2,
,KDM1A,,TWF2,
,GNPNAT1,,PDCD11,
,MYC,,TPGS1,
,CDC42,,PROS1,
,PARK7,,CMPK1,
,SNRNP25,,EGR2,
,SNAP25,,DCAF12,
,SNF8,,AEBP2,
,SPACA4,,ADRM1,
,RABGAP1,,CENPX,
,DTNBP1,,AGBL5,
,SIVA1,,PDZD8,
,COX7B2,,PKNOX1,
,USP16,,PPP2R2A,
,FAM198B,,MYO6,
,NNT-AS1,,YWHAQ,
,DNAJC19,,CHML,
,ASPH,,ASAP2,
,MPZL1,,FADS2,
,BNC2,,SMARCB1,
,MAP3K5,,TRAK1,
,FAM120A,,RFXANK,
,COPS6,,R3HDM1,
,PSIP1,,MTURN,
,ERLEC1,,FKBP8,
,SRGN,,SRPRA,
,ARPC1A,,SF3A2,
,SF3B5,,ANO1,
,KANK2,,PCGF2,
,CD82,,45724,
,MIR4458HG,,EIF3D,
,PARM1,,BAX,
,KPNB1,,SENP1,
,PAFAH1B1,,RAB11A,
,MARK3,,PDIA3,
,AOC3,,OFD1,
,MT-TL1,,MDM2,
,POLE4,,THBD,
,RHBDD2,,CENPJ,
,CEBPZOS,,ABTB1,
,EVI5,,SMC5,
,TMEM14C,,NAA10,
,TMED4,,PAFAH1B2,
,IDS,,KIAA1586,
,SNX17,,BTAF1,
,CYSTM1,,FARP1,
,NKAPL,,PLEC,
,NPIPP1,,GNPTG,
,IFT88,,WRN,
,PEA15,,EI24,
,KLHDC3,,TRIM23,
,MAP7D3,,KLC2,
,LAPTM4B,,CLTA,
,UBE2Q1,,TAPBP,
,PSME1,,EIF5A,
,POLE3,,COL3A1,
,MXI1,,KANSL1,
,PAIP1,,PDGFC,
,DDX50,,MBNL1-AS1,
,MLF2,,SERPINE1,
,YPEL2,,PCMTD1,
,TTK,,USP8,
,ATP2B4,,ABRAXAS2,
,RNF114,,TRIM24,
,FGD5-AS1,,ARCN1,
,NEO1,,STK25,
,BAG1,,CNN1,
,SLC7A2,,SEMA3D,
,RBX1,,TMEM159,
,LINC00963,,SSB,
,RMND5A,,PRKG1,
,THUMPD3,,DDX39A,
,COX7A1,,OAT,
,COX5A,,CKMT2,
,EGR1,,CTSD,
,TRPT1,,EIF2S2,
,MT-ATP8,,TNIP1,
,C12orf76,,DYRK4,
,DRG1,,IL17B,
,SPG21,,FUBP1,
,NR3C1,,VRK1,
,ZC3H13,,KLHDC3,
,PSMD6,,SLC25A5,
,SCFD1,,LGR6,
,DHX29,,UGP2,
,TMEM18,,UBL5,
,FBXO34,,ATMIN,
,PSMA3,,TXNDC16,
,ETFRF1,,SLC40A1,
,NADK2,,OLFML2A,
,SSBP1,,IFRD2,
,RGS5,,MYH10,
,C6orf89,,CCDC115,
,BOLA3,,MED21,
,CTSO,,CYP11A1,
,SURF2,,OSBPL1A,
,AGPAT2,,CDC37,
,SNX9,,DAB1,
,DSTN,,COL1A2,
,ARPC5,,GADD45A,
,LRMDA,,ACLY,
,CCDC25,,ZNF22,
,LINC01088,,STK3,
,AASDHPPT,,MXD4,
,NINJ1,,ETFB,
,UBA5,,ATP5F1E,
,NDUFB1,,HLA-E,
,MAN1A2,,DDX52,
,REEP3,,PHF3,
,RAB34,,CCNL1,
,TATDN1,,YTHDF2,
,TEX15,,SNORD3A,
,ITGA1,,HACD4,
,KPNA2,,TTBK2,
,KLF4,,SLC22A3,
,SFPQ,,STAT1,
,IFI35,,G3BP1,
,YME1L1,,RERG,
,GLRX5,,C11orf74,
,EXOSC8,,REV3L,
,ZNF91,,CDKN1B,
,TM2D1,,ERP29,
,SAFB2,,SMC3,
,DYNC1H1,,PCBP2,
,UROD,,PALB2,
,GPR107,,KLF6,
,ATP5IF1,,BLVRA,
,SNRPD3,,C5orf24,
,LTBP1,,FSTL1,
,NDUFB3,,DOCK1,
,ATP6V0B,,PPWD1,
,HBP1,,DHPS,
,WISP2,,COL4A2,
,RCAN2,,45908,
,EHD2,,NFE2L2,
,PLBD2,,NRBP1,
,ZC3H7B,,NT5C3B,
,EIF4G3,,ARID4B,
,RAD21,,IRF2BPL,
,AHNAK,,RXRG,
,CALCOCO2,,CNPY2,
,ATP5MC1,,PUM3,
,ZFAND6,,NINJ1,
,SDAD1,,SEC61G,
,CAV1,,WDR20,
,KRT17,,WDR13,
,S100A6,,RAF1,
,PFDN4,,RBMS2,
,RRAGA,,CARD19,
,UQCRH,,GRK5,
,ZCCHC7,,BTRC,
,MAPK10,,TGM2,
,DDX3Y,,ERGIC3,
,UBE2D4,,TMEM259,
,MYL9,,FGL2,
,TPRKB,,ZEB2,
,CEP104,,HIRIP3,
,TPI1,,HDAC5,
,FUBP1,,SNX19,
,G3BP2,,HINT2,
,YTHDF2,,RAP1GDS1,
,CCDC74A,,SHISA5,
,PPCS,,TRMT1L,
,NDUFA4,,LIMA1,
,BRWD1,,VWA1,
,CHMP5,,PDHA1,
,NUDC,,COX5A,
,ZBTB38,,PXDC1,
,CPM,,ITGA3,
,AP3D1,,SRP9,
,FNDC11,,LEPROTL1,
,ITGB3BP,,CEP295,
,TMEM208,,DTNBP1,
,SMIM37,,FLOT1,
,POP7,,RPN2,
,ZNF626,,PLEKHA1,
,IDE,,MYO1C,
,SNX1,,CCL19,
,LYPLAL1,,CYP4X1,
,SYNPO2,,TRIM44,
,UBE2I,,CFAP36,
,SMIM19,,CES2,
,XPO1,,YY1,
,ARPC3,,IQSEC1,
,ADSSL1,,COQ5,
,SPATA20,,VPS13D,
,FN1,,WDR47,
,HIGD1A,,R3HDM2,
,NMRK1,,ETF1,
,TXNRD1,,TROVE2,
,ID3,,ACYP1,
,NME5,,POLR2C,
,UQCRQ,,FAM50A,
,PPP1CB,,ZADH2,
,FAM96B,,HIP1,
,PRKAR2A,,RIOK1,
,SLBP,,SCD5,
,NMT1,,SNRPF,
,TXN2,,TOMM34,
,SMIM10L1,,TOPBP1,
,TMEM160,,FLOT2,
,IMMT,,HMGN3,
,CCDC50,,TBL1X,
,MAPK1IP1L,,UFM1,
,NDUFAB1,,TTC14,
,FIBP,,AC245297.1,
,RAB8A,,RHOBTB3,
,KRBOX1,,RRAGA,
,DKK3,,FBXL5,
,TBCB,,PHAX,
,ITGAV,,ZC3H13,
,HCFC1R1,,RNF5,
,G3BP1,,HELZ,
,DESI2,,SFXN1,
,NAXE,,PKN1,
,TMEM205,,KRIT1,
,KIF13A,,BAG3,
,DUSP3,,PID1,
,SNRNP40,,NDUFA2,
,ATP5PO,,TSPAN31,
,STAT3,,ATP5IF1,
,PFDN2,,LY6E,
,COPRS,,ZNF768,
,ZNF518A,,GOSR2,
,GSTO1,,RTN3,
,RNF24,,TBC1D17,
,PFDN6,,45723,
,NDUFB7,,SNHG8,
,ZFR,,BRWD1,
,MYLK,,AQR,
,BTG2,,ATP6V0E1,
,THUMPD3-AS1,,SOX15,
,SPESP1,,RNF6,
,FOS,,MOB1A,
,,,SDAD1,
,,,DES,
,,,CORO1B,
,,,PCDH18,
,,,BPHL,
,,,PARM1,
,,,GPNMB,
,,,DAZAP1,
,,,FAM76A,
,,,UTP20,
,,,GLMP,
,,,MAP1A,
,,,CTDNEP1,
,,,BZW2,
,,,UBQLN1,
,,,SOAT1,
,,,EBF1,
,,,UQCC2,
,,,ENPEP,
,,,SIPA1L1,
,,,MIR4458HG,
,,,ABCA5,
,,,FGF1,
,,,ACKR3,
,,,MT-CYB,
,,,SLC1A4,
,,,GJC1,
,,,TIMM17B,
,,,REM1,
,,,CXXC5,
,,,SCML1,
,,,GOT1,
,,,CCDC117,
,,,VPS13A,
,,,UBE2H,
,,,UNC50,
,,,PUF60,
,,,HEATR1,
,,,GDF11,
,,,PPP2R5A,
,,,CCDC25,
,,,AKR7A2,
,,,DIXDC1,
,,,SNRPA,
,,,SLC25A1,
,,,CISD1,
,,,NR2C1,
,,,NF1,
,,,PRKCSH,
,,,VMP1,
,,,EXOC7,
,,,NDUFV3,
,,,LSMEM2,
,,,PLCB1,
,,,MAP3K8,
,,,ARHGEF9,
,,,SAR1B,
,,,BROX,
,,,MRNIP,
,,,FADS3,
,,,ZNF331,
,,,RIMKLB,
,,,MAGOH,
,,,S100A11,
,,,PENK,
,,,MSC,
,,,BTBD10,
,,,SRL,
,,,BAG6,
,,,MGA,
,,,LDHA,
,,,MEA1,
,,,SFT2D2,
,,,ZCCHC11,
,,,CTDSP1,
,,,CCDC82,
,,,DBNL,
,,,C4orf3,
,,,VDAC2,
,,,NREP,
,,,GOLGA5,
,,,TRAM1,
,,,OS9,
,,,C3orf70,
,,,AFG3L2,
,,,MTIF3,
,,,45718,
,,,DOCK7,
,,,STAMBP,
,,,CSE1L,
,,,PIN1,
,,,CASC3,
,,,RNF7,
,,,ARMC4,
,,,FAF2,
,,,TPI1,
,,,CCDC69,
,,,HADH,
,,,STX10,
,,,VPS4A,
,,,HDGF,
,,,PNPLA8,
,,,NDUFB3,
,,,HECTD1,
,,,VTI1B,
,,,ANKRD13A,
,,,SOX4,
,,,PARN,
,,,USP16,
,,,ALDH6A1,
,,,CD164,
,,,ANP32B,
,,,TLK2,
,,,SNAPIN,
,,,SNX29,
,,,TMEM50B,
,,,DNAJC2,
,,,COPRS,
,,,FAM162B,
,,,KDELR1,
,,,KATNBL1,
,,,APPL2,
,,,ZFYVE16,
,,,AKAP9,
,,,ARHGDIB,
,,,PRSS23,
,,,PSPHP1,
,,,MGP,
,,,MYL12A,
,,,NFAT5,
,,,CCDC174,
,,,NDUFAF3,
,,,ENTPD1,
,,,LSAMP,
,,,TMEM183A,
,,,HK1,
,,,BAG4,
,,,MFSD10,
,,,TMF1,
,,,ITGA9,
,,,SH3BGR,
,,,OTUD6B-AS1,
,,,CRNDE,
,,,SNRNP40,
,,,FBXL15,
,,,SVIP,
,,,LRRC17,
,,,MAF,
,,,SPCS1,
,,,SLC25A4,
,,,DPYSL3,
,,,TERF2IP,
,,,TCEA2,
,,,HNRNPH3,
,,,TRIOBP,
,,,DNAJC19,
,,,MPRIP,
,,,DCAF10,
,,,CCDC186,
,,,BLVRB,
,,,VPS28,
,,,TIMM17A,
,,,METTL9,
,,,PRRC1,
,,,ZFC3H1,
,,,NTRK3,
,,,NKTR,
,,,SLC7A2,
,,,UBA6,
,,,TRIM28,
,,,DICER1,
,,,BCAP29,
,,,LINC00982,
,,,TMA16,
,,,CCDC92,
,,,BANF1,
,,,PTBP3,
,,,NOL10,
,,,IL6ST,
,,,CTR9,
,,,DYNC1H1,
,,,GMDS,
,,,EHMT1,
,,,PHB2,
,,,BIRC2,
,,,NBR1,
,,,ATP5PB,
