Myoid-OA,Myoid-AZFc,Myoid-INOA_B,Myoid-KS,Myoid-INOA_S
,MAP3K14-AS1,CAPNS1,CD44,GKAP1
,CERS2,TLE4,JPT1,KNL1
,PRDX5,APH1B,OXCT2,SPERT
,ZFAND5,CFAP97D1,SPANXC,SPATC1
,IFITM2,GSN,SSX2IP,OSBPL10-AS1
,ACAT2,OAZ1,C2orf73,LINC02400
,INSIG1,TAGLN2,LRRC27,DIAPH3-AS2
,CCDC168,AL359853.3,CSNKA2IP,AC093151.3
,SPSB3,HMGN2,CSRP1,IGF2BP2
,AL365357.1,UQCRC1,NSUN4,TMCO5B
,RNF138,POLR2E,C11orf42,PPP1R32
,KCNMA1,FAM104A,MORN3,C11orf71
,FAM71E1,SPINK2,TSKS,MORN2
,GHITM,AKAP1,CREM,MT-ND1
,SRP9,SPATA3-AS1,SPATA12,CFAP65
,NPNT,CCDC7,KLHL10,LLCFC1
,FAM229B,RNF141,C20orf85,LINC01784
,ROPN1L,OAT,STPG1,TRABD2A
,MPG,SLC25A37,ODF1,TLE4
,COL15A1,TSC22D3,KIF15,C9orf43
,FXR1,LYPLA1,CYB5R2,CREM
,RNF133,SON,PMFBP1,MIR663AHG
,SUN2,SETD9,MORN5,RPGRIP1
,KIF2B,ECH1,LINC00929,KIRREL3-AS2
,EVA1B,C6orf201,PMS1,MCHR2-AS1
,FGF14-AS1,MFAP4,OSBPL10,LYZL6
,TEX36-AS1,TTC39A,DSTN,SMC1B
,IZUMO4,A2M,KLF2,SPANXN5
,SLC25A6,PSMA1,KIRREL3-AS2,TTK
,ACTL9,HRASLS5,DPEP1,TIPARP-AS1
,LINC00854,RPN2,CRTAP,IGSF11
,INPP1,UROD,OSBPL10-AS1,AC114812.1
,TGFBR3,FAM220A,ODF3L2,EDRF1-AS1
,AKAP3,BLCAP,PRSS58,AC005842.1
,SPATA7,TFAM,EFCAB1,CRNDE
,RPAIN,CEP350,LYZL4,FAM71F2
,SPEM1,FBXO39,BCAM,PCYT2
,EIF4E,TEX36-AS1,LINC01784,ERICH3
,TTC39A,CAPN2,AL049875.1,MROH2B
,TAPBP,SPATA20,LRRTM3,CLK2P1
,PWRN1,ELOF1,TEX15,LINC02053
,AC004797.1,LYRM1,LINC00658,FAM166A
,LINC01304,NAA20,ACRV1,LINC01016
,PNMA1,C20orf85,APOD,SYCE3
,MIF,AP001782.1,AC113423.2,PLSCR2
,SPACA3,TIMM50,GPR18,PPP4R1L
,CYB5R4,PRDX6,STMN1,AC083973.1
,CENPU,SLC40A1,NRAV,MFAP3L
,LBH,ACP1,AC005842.1,AL359182.2
,FAM120B,COX7A2L,HES1,LINC00347
,CSNKA2IP,RNF114,LPIN1,CDHR2
,IPO5,PRKAR1A,LRRIQ1,LEF1-AS1
,TTC29,CKB,HAGLR,HIST1H2BA
,CCDC179,C6orf89,DRICH1,GNG2
,F10,PPP1R7,C17orf64,LRRC8C-DT
,FAM71F1,LUM,ADAM3A,TEKT2
,ALKBH7,COPS5,CLK2P1,PDXK
,AAMDC,PCP2,RERGL,GPR18
,GAMT,AL157756.1,C12orf42,TEX22
,AQP5,UBQLNL,AC135977.1,RETREG1
,GSTT4,CCDC179,MFGE8,SOX30
,NTRK3,ZFAND3,TSPAN6,DCAF4L1
,PP2D1,NINJ1,ACTN4,CCDC62
,H1FNT,PCMTD1,DIAPH3-AS2,HORMAD1
,COL6A3,CFAP36,ROPN1,FAM220A
,CT83,DNALI1,C16orf78,SRD5A3-AS1
,SRPK1,CEP112,ADAM5,TSGA10
,LINC01784,ASS1,TMCO5B,C5orf49
,PPIA,PDE1A,IPO5,RNF38
,DNAJA4,DNAJC18,PAGE2B,CTNNA2
,CMTM2,SDHD,SELENOW,C11orf65
,CAMK1,ATP6V0D1,MFAP4,CFAP100
,FAM71B,RNF133,AL365184.2,RGMB-AS1
,ZFP36L2,AC097375.2,MZT2B,DCC
,NT5DC2,PSMD4,FAM92A,BRWD1-AS2
,GNB5,EFCAB1,AC018558.1,FAM104A
,C2orf73,TMEM219,AC008114.1,PCAT6
,TFAM,EIF4H,PDHA2,LRRC27
,SAT1,GORASP2,TTC23L,INPP1
,SLIT1-AS1,LINC01539,CAVIN3,TEKT3
,IQGAP2,AC073111.1,LINC02053,AF131216.4
,CEBPD,PDHA2,C5orf49,STMN1
,MAF,MACROD2-AS1,ENOX1,CCSER1
,GNA11,LRRD1,LYZL2,DAZL
,NUDT10,LINC00927,PLAC8L1,PABPC3
,IGF2BP2,PP2D1,ASB5,DDX20
