ST-OA,ST-AZFc,ST-INOA_B,ST-KS,ST-INOA_S
VPS37B,PRDX2,RAE1,HAGH,MARCKSL1
BSG,EIF4A2,NAA20,ITGA6,SPATA22
H2AFJ,ELOVL4,LCA5L,VPS37B,FAM236A
JKAMP,TFRC,PRKAR1A,RNF40,SMOC1
YARS,NDUFA1,MT-TT,DALRD3,COX6C
AKT1,MTND2P28,TBX18-AS1,C11orf71,LDHB
SLC7A2,TMEM31,TEX37,TSR3,S100A11
EEF1A1,RAD23A,CCNDBP1,PITPNA-AS1,FNBP1
STAR,HMGCS2,ZNF711,SSBP4,PANK3
TNFRSF12A,TMCO5A,CREM,METTL26,MTND4P12
CETN3,UBE2E3,HP1BP3,AKT1,LGALS3
SRSF6,SOX2,TPD52L3,SNHG10,NUCKS1
AC005912.1,NDUFB1,SPANXN4,NUDT3,HMGCS1
UBAP1,ITM2C,HEMGN,CAPNS1,SRSF3
EXOC7,GAS6,EIF3I,HMGCS1,MMD
PEX5,ECI2,SH3RF2,CMTM2,CAPN2
ACOT13,ZYX,TMEM147,RACK1,YME1L1
CTNNAL1,KCTD13,CLDND1,FUZ,NPTN
RASA1,ZFP36L1,IQCF2,CAND2,EIF3K
SLC1A6,P4HB,F2R,VSIG1,NOP53
MAL2,TRIM36,ACAT1,COMT,FMNL2
LGALS3BP,NCK2,IFI6,SLC2A4RG,SELENOS
SPOCK1,NUDT11,SDHB,NR0B1,CCNL1
NDUFB1,HPS3,ACRV1,PRDX5,HINT1
PCSK2,COL27A1,ADIPOR1,GAS2L1,TXN2
SPATA4,ANXA5,MAP1LC3A,TPI1,FAM229B
FAM236A,TAPBP,C6orf99,CYB5R3,CALM1
CLDN1,MYLK,FAM209B,C9orf16,HSPA8
TMX4,ATXN2L,CDS2,EXOC7,MTPN
RBBP4,ATP5F1C,NBR1,H2AFJ,TOMM20
SMARCD2,NUPR2,TEKT3,C5orf58,MT-TI
TMEM259,CDIPT-AS1,CFAP97D1,MLST8,MSI2
C15orf61,SPTY2D1OS,SPANXN5,C6orf48,ACTRT3
FGFR1,DKKL1,C17orf64,TSC22D4,ZFP36
HMGN3,KITLG,SDF2,UQCRQ,LGMN
PBK,DAAM1,ATF6B,SIVA1,ENAH
ZDHHC2,EEF2,CNIH1,CRAT,SNHG5
DEFB119,IGSF1,ZPBP,PFDN5,CST3
TPT1,MSMO1,SRSF5,BAD,ADGRG1
CYHR1,APP,SLC25A5,FAU,IFITM2
OS9,PGM3,SAMD4A,UBTD1,BRD2
ARID5B,PSMC1,PPP4C,PSMG4,MFSD2A
LINC02367,SOX4,HIST1H1D,ESPN,VKORC1
PKM,AC010255.3,TMEM120A,PHF7,YWHAB
WNK3,SCP2,PDCL2,ELP5,TFRC
TAP1,PRKAR2B,NDUFB3,FAHD2CP,IGSF8
PSMA7,ATP5F1B,FHL1,WSB2,SERPINA5
GOLGB1,CARM1,RBM39,KAT5,ATP5F1A
GBP2,TOM1L1,HOOK1,FLII,NDUFS5
SNHG10,PSKH1,INHBB,TMEM8A,PLEKHA5
IER3,PGK2,RNF32,BSG,MTND2P28
C12orf75,NACA,BAG5,DIAPH2,HMGB1
CYB5A,LAPTM4B,SCAMP2,G0S2,EPPIN
DIAPH2,MYL6,TRMT10C,EGR3,MBNL3
GDF10,FBXO18,TEX46,VTI1B,JUND
FAM84A,FKBP3,TECR,YBX2,NDUFA11
MFSD2A,MINK1,TSG101,SPATC1L,GAS7
GDE1,LINC00854,ERGIC3,FAM169A,RALB
CUL3,CYB5A,CCDC169,FAM229A,MAPKAP1
MARCKS,TRAF4,CXCL1,SPATA8,HSPA1B
NDUFB4,FBXW2,KITLG,HGS,SFPQ
CRYAB,KIAA1217,TRAPPC4,FAAP20,CYB5R1
ZCCHC17,BRICD5,PEF1,PPIF,UQCRQ
GNA11,PSMA2,SPATA22,VPS52,DAP
